IND,POP,SUPERPOP
HG00512,CHS,EAS
HG00268,FIN,EUR
HG00733,PUR,AMR
HG00732,PUR,AMR
HG00864,CDX,EAS
HG02018,KHV,EAS
HG01596,KHV,EAS
HG02492,PJL,SAS
HG02106,PEL,AMR
HG02587,GWD,AFR
HG03009,BEB,SAS
HG03065,MSL,AFR
HG03371,ESN,AFR
HG03807,BEB,SAS
HG03732,ITU,SAS
NA18939,JPT,EAS
NA18534,CHB,EAS
NA12878,CEU,EUR
NA19239,YRI,AFR
NA20509,TSI,EUR
HG00171,FIN,EUR
HG00096,GBR,EUR
HG00731,PUR,AMR
HG01114,CLM,AMR
HG00513,CHS,EAS
HG01352,CLM,AMR
HG01573,PEL,AMR
HG02011,ACB,AFR
HG02059,KHV,EAS
HG00514,CHS,EAS
HG03125,ESN,AFR
HG01505,IBS,EUR
HG04217,ITU,SAS
NA12329,CEU,EUR
NA19036,LWK,AFR
HG02818,GWD,AFR
NA19238,YRI,AFR
NA19240,YRI,AFR
HG03486,MSL,AFR
NA19983,ASW,AFR
HG03683,STU,SAS
NA19434,LWK,AFR
NA19650,MXL,AMR
NA20847,GIH,SAS