IND,POP,SUPERPOP,REPEAT_COPIES
NA19731,MXL,AMR,835
HG01348,CLM,AMR,834
HG01396,PUR,AMR,831
HG02105,PEL,AMR,823
NA19729,MXL,AMR,823
NA19735,MXL,AMR,816
HG01303,PUR,AMR,807
HG02147,PEL,AMR,777
NA19794,MXL,AMR,763
HG02286,PEL,AMR,761
HG01571,PEL,AMR,756
HG02262,PEL,AMR,753
HG01935,PEL,AMR,746
NA19681,MXL,AMR,741
HG01927,PEL,AMR,727
NA19782,MXL,AMR,694
NA19792,MXL,AMR,681
NA19741,MXL,AMR,673
HG02301,PEL,AMR,657
NA12413,CEU,EUR,652
NA19655,MXL,AMR,652
NA19795,MXL,AMR,648
HG01277,CLM,AMR,642
HG01171,PUR,AMR,636
NA19717,MXL,AMR,628
HG01094,PUR,AMR,626
NA19759,MXL,AMR,616
NA19783,MXL,AMR,615
NA19658,MXL,AMR,612
HG01148,CLM,AMR,605
NA19669,MXL,AMR,596
NA20299,ASW,AFR,596
NA19780,MXL,AMR,595
HG01465,CLM,AMR,593
NA19663,MXL,AMR,590
NA20339,ASW,AFR,589
NA18625,CHB,EAS,587
HG01455,CLM,AMR,586
HG01351,CLM,AMR,585
HG01431,CLM,AMR,584
NA19732,MXL,AMR,583
NA19776,MXL,AMR,583
HG01550,CLM,AMR,579
HG01974,PEL,AMR,577
HG02272,PEL,AMR,576
HG01052,PUR,AMR,574
NA19661,MXL,AMR,574
HG01250,CLM,AMR,572
HG01272,CLM,AMR,571
HG01926,PEL,AMR,571
HG01356,CLM,AMR,570
HG01938,PEL,AMR,570
HG02260,PEL,AMR,569
NA19788,MXL,AMR,569
NA19654,MXL,AMR,567
HG01190,PUR,AMR,566
NA19728,MXL,AMR,566
HG00734,PUR,AMR,564
HG01341,CLM,AMR,562
NA19684,MXL,AMR,561
NA19664,MXL,AMR,560
HG01102,PUR,AMR,558
NA19725,MXL,AMR,557
NA19758,MXL,AMR,554
HG02870,GWD,AFR,553
HG02184,CDX,EAS,552
NA19755,MXL,AMR,551
NA19756,MXL,AMR,550
HG01921,PEL,AMR,549
NA19716,MXL,AMR,549
HG01047,PUR,AMR,545
HG01113,CLM,AMR,545
HG01551,CLM,AMR,543
HG01572,PEL,AMR,541
HG01069,PUR,AMR,540
HG02391,CDX,EAS,540
NA19648,MXL,AMR,537
NA20851,GIH,SAS,532
HG01107,PUR,AMR,528
NA19789,MXL,AMR,528
HG01932,PEL,AMR,526
HG03875,ITU,SAS,526
NA21142,GIH,SAS,524
HG00113,GBR,EUR,523
HG00553,PUR,AMR,522
HG01968,PEL,AMR,522
HG02252,PEL,AMR,521
HG03789,ITU,SAS,521
HG03888,STU,SAS,521
HG01191,PUR,AMR,516
HG01992,PEL,AMR,515
NA20804,TSI,EUR,514
HG02165,CDX,EAS,512
HG01402,PUR,AMR,511
HG02152,CDX,EAS,511
HG03593,BEB,SAS,510
HG03890,STU,SAS,510
HG01479,CLM,AMR,509
HG03024,GWD,AFR,509
HG03234,PJL,SAS,509
HG02075,KHV,EAS,507
NA19625,ASW,AFR,505
HG01468,CLM,AMR,504
HG02064,KHV,EAS,504
HG01951,PEL,AMR,503
NA18985,JPT,EAS,502
HG01161,PUR,AMR,501
HG01357,CLM,AMR,501
HG02266,PEL,AMR,501
HG04070,ITU,SAS,499
HG02265,PEL,AMR,498
HG01284,CLM,AMR,496
NA21101,GIH,SAS,496
HG02090,PEL,AMR,495
HG02285,PEL,AMR,494
HG01136,CLM,AMR,493
HG01486,CLM,AMR,493
HG01956,ACB,AFR,492
HG03111,ESN,AFR,491
HG00759,CDX,EAS,490
NA18550,CHB,EAS,488
NA20910,GIH,SAS,487
NA19247,YRI,AFR,485
HG02239,IBS,EUR,484
HG02134,KHV,EAS,483
HG00457,CHS,EAS,482
HG00675,CHS,EAS,482
HG03668,PJL,SAS,482
HG03559,MSL,AFR,481
NA20856,GIH,SAS,481
HG02095,ACB,AFR,480
HG01920,PEL,AMR,479
NA19185,YRI,AFR,479
NA19461,LWK,AFR,479
NA20318,ASW,AFR,477
NA20356,ASW,AFR,477
HG00534,CHS,EAS,475
HG01137,CLM,AMR,475
HG00629,CHS,EAS,474
NA19004,JPT,EAS,474
HG03159,ESN,AFR,471
HG03198,ESN,AFR,471
HG03410,MSL,AFR,471
NA19130,YRI,AFR,471
HG01859,KHV,EAS,470
HG02603,PJL,SAS,470
NA19310,LWK,AFR,470
NA12842,CEU,EUR,469
HG01704,IBS,EUR,468
HG02375,CDX,EAS,468
NA21090,GIH,SAS,468
HG02322,ACB,AFR,467
NA20527,TSI,EUR,467
HG00611,CHS,EAS,466
HG02700,PJL,SAS,466
HG02360,CDX,EAS,465
HG03019,PJL,SAS,465
NA18562,CHB,EAS,464
HG01860,KHV,EAS,463
HG00451,CHS,EAS,462
HG01305,PUR,AMR,462
HG02131,KHV,EAS,462
HG02384,CDX,EAS,462
HG02884,GWD,AFR,462
HG03484,MSL,AFR,462
NA20767,TSI,EUR,462
HG02023,KHV,EAS,461
HG04035,STU,SAS,461
NA19740,MXL,AMR,461
NA20902,GIH,SAS,460
HG02178,CDX,EAS,459
HG03756,STU,SAS,459
HG01705,IBS,EUR,458
HG01871,KHV,EAS,458
HG02513,KHV,EAS,458
HG01980,PEL,AMR,457
NA19137,YRI,AFR,457
HG01028,CDX,EAS,456
HG01917,PEL,AMR,455
HG02026,KHV,EAS,455
NA20524,TSI,EUR,455
HG02385,CDX,EAS,454
HG04209,ITU,SAS,453
NA18944,JPT,EAS,453
HG02946,ESN,AFR,452
HG03603,BEB,SAS,451
HG00128,GBR,EUR,450
HG03882,ITU,SAS,450
HG01362,CLM,AMR,449
NA18634,CHB,EAS,449
NA18740,CHB,EAS,449
NA20754,TSI,EUR,449
HG01595,KHV,EAS,448
HG02392,CDX,EAS,448
HG00138,GBR,EUR,447
NA20521,TSI,EUR,447
HG00112,GBR,EUR,446
HG01808,CDX,EAS,446
HG03117,ESN,AFR,446
NA19002,JPT,EAS,446
HG01097,PUR,AMR,445
HG00623,CHS,EAS,444
HG00631,CHS,EAS,444
HG00864,CDX,EAS,444
NA12399,CEU,EUR,444
NA18582,CHB,EAS,444
HG00619,CHS,EAS,441
HG01281,CLM,AMR,441
HG02860,GWD,AFR,441
HG03775,ITU,SAS,441
HG00105,GBR,EUR,440
HG00129,GBR,EUR,440
HG02308,ACB,AFR,440
NA19472,LWK,AFR,440
NA20507,TSI,EUR,440
HG02073,KHV,EAS,439
NA19676,MXL,AMR,439
HG00308,FIN,EUR,438
HG04198,ITU,SAS,438
HG00473,CHS,EAS,437
NA19010,JPT,EAS,437
HG02651,PJL,SAS,436
HG03366,ESN,AFR,436
HG04047,STU,SAS,436
HG00102,GBR,EUR,435
NA11840,CEU,EUR,435
NA20581,TSI,EUR,435
NA20896,GIH,SAS,435
HG00372,FIN,EUR,434
HG03826,BEB,SAS,434
HG01597,KHV,EAS,433
NA18606,CHB,EAS,433
NA18961,JPT,EAS,433
NA19682,MXL,AMR,433
HG00106,GBR,EUR,432
HG02138,KHV,EAS,432
HG00141,GBR,EUR,431
HG01456,CLM,AMR,431
HG02734,PJL,SAS,431
NA20795,TSI,EUR,431
HG01182,PUR,AMR,430
HG02861,GWD,AFR,430
HG00708,CHS,EAS,429
HG01435,CLM,AMR,429
HG04229,STU,SAS,429
NA12275,CEU,EUR,429
NA20827,TSI,EUR,429
HG01631,IBS,EUR,428
HG01870,KHV,EAS,428
NA20589,TSI,EUR,428
HG00267,FIN,EUR,427
HG01489,CLM,AMR,427
HG01892,PEL,AMR,427
HG03990,STU,SAS,427
NA19750,MXL,AMR,427
HG01174,PUR,AMR,426
HG01197,PUR,AMR,426
NA20899,GIH,SAS,426
HG01326,PUR,AMR,425
HG03604,BEB,SAS,425
NA12762,CEU,EUR,425
NA18915,YRI,AFR,425
NA20513,TSI,EUR,425
NA20752,TSI,EUR,425
HG04144,BEB,SAS,424
NA07051,CEU,EUR,424
HG01615,IBS,EUR,423
NA18983,JPT,EAS,423
NA18507,YRI,AFR,422
NA12286,CEU,EUR,421
NA20911,GIH,SAS,421
HG00731,PUR,AMR,420
HG02724,PJL,SAS,420
HG03693,STU,SAS,420
HG04211,ITU,SAS,420
NA20334,ASW,AFR,420
NA20847,GIH,SAS,420
NA20884,GIH,SAS,420
NA20897,GIH,SAS,420
HG00325,FIN,EUR,419
HG01620,IBS,EUR,419
HG03767,PJL,SAS,418
HG03869,ITU,SAS,418
NA19213,YRI,AFR,418
HG01861,KHV,EAS,417
NA12873,CEU,EUR,417
NA18997,JPT,EAS,417
HG01098,PUR,AMR,416
HG01608,IBS,EUR,416
HG02409,CDX,EAS,416
HG02549,ACB,AFR,416
HG02597,PJL,SAS,416
NA11933,CEU,EUR,416
HG00364,FIN,EUR,415
HG01491,CLM,AMR,415
HG03069,MSL,AFR,415
HG03681,STU,SAS,415
NA18522,YRI,AFR,415
NA18541,CHB,EAS,415
NA18999,JPT,EAS,415
HG00638,PUR,AMR,414
HG01073,PUR,AMR,414
NA19107,YRI,AFR,414
HG00126,GBR,EUR,413
HG00177,FIN,EUR,413
HG00704,CHS,EAS,413
HG01323,PUR,AMR,413
NA19467,LWK,AFR,413
NA20885,GIH,SAS,413
NA21099,GIH,SAS,413
HG01673,IBS,EUR,412
HG01954,PEL,AMR,412
HG01134,CLM,AMR,411
HG02971,ESN,AFR,411
HG03631,PJL,SAS,411
HG04029,STU,SAS,411
NA20538,TSI,EUR,411
NA21122,GIH,SAS,411
HG00442,CHS,EAS,410
HG03237,PJL,SAS,410
NA19223,YRI,AFR,410
HG00179,FIN,EUR,409
HG00233,GBR,EUR,409
HG00422,CHS,EAS,409
HG02345,PEL,AMR,409
HG04202,ITU,SAS,409
NA18638,CHB,EAS,409
NA20753,TSI,EUR,409
HG03652,PJL,SAS,408
HG03792,ITU,SAS,408
HG00551,PUR,AMR,407
HG01537,IBS,EUR,407
HG01617,IBS,EUR,407
HG03965,ITU,SAS,407
NA20759,TSI,EUR,407
HG01536,IBS,EUR,406
HG01852,KHV,EAS,406
HG02250,CDX,EAS,406
HG02661,PJL,SAS,406
HG04195,BEB,SAS,406
NA12234,CEU,EUR,406
NA19901,ASW,AFR,406
NA20785,TSI,EUR,406
HG00243,GBR,EUR,405
HG01768,IBS,EUR,405
HG03240,GWD,AFR,405
HG04206,ITU,SAS,405
HG00148,GBR,EUR,404
HG00599,CHS,EAS,404
HG02020,KHV,EAS,404
HG02725,PJL,SAS,404
HG03571,MSL,AFR,404
HG03940,BEB,SAS,404
NA07037,CEU,EUR,404
HG00851,CDX,EAS,403
HG02156,CDX,EAS,403
NA19921,ASW,AFR,403
NA20314,ASW,AFR,403
NA20532,TSI,EUR,403
HG01242,PUR,AMR,402
HG02455,ACB,AFR,402
HG03160,ESN,AFR,402
HG03267,ESN,AFR,402
HG03777,ITU,SAS,402
HG03914,BEB,SAS,402
NA20351,ASW,AFR,402
HG00557,CHS,EAS,401
HG01512,IBS,EUR,401
HG01613,IBS,EUR,401
HG02141,KHV,EAS,401
HG02722,GWD,AFR,401
HG02775,PJL,SAS,401
HG03006,BEB,SAS,401
HG03706,PJL,SAS,401
NA18636,CHB,EAS,401
NA18998,JPT,EAS,401
NA19093,YRI,AFR,401
NA20276,ASW,AFR,401
NA20510,TSI,EUR,401
NA20757,TSI,EUR,401
NA20761,TSI,EUR,401
HG00321,FIN,EUR,400
HG01684,IBS,EUR,400
HG03729,ITU,SAS,400
NA18486,YRI,AFR,400
NA19074,JPT,EAS,400
NA19091,JPT,EAS,400
NA19235,YRI,AFR,400
NA20317,ASW,AFR,400
HG00445,CHS,EAS,399
HG01625,IBS,EUR,399
HG03928,BEB,SAS,399
NA19749,MXL,AMR,399
NA20877,GIH,SAS,399
NA21095,GIH,SAS,399
HG00637,PUR,AMR,398
HG03049,GWD,AFR,398
HG03640,PJL,SAS,398
HG03872,ITU,SAS,398
NA18504,YRI,AFR,398
NA19395,LWK,AFR,398
NA19761,MXL,AMR,398
NA20867,GIH,SAS,398
HG01372,CLM,AMR,397
HG02614,GWD,AFR,397
HG02675,GWD,AFR,397
HG03012,BEB,SAS,397
HG03716,ITU,SAS,397
HG03757,STU,SAS,397
HG03894,STU,SAS,397
HG04146,BEB,SAS,397
NA12144,CEU,EUR,397
NA19378,LWK,AFR,397
NA20803,TSI,EUR,397
HG00119,GBR,EUR,396
HG01384,CLM,AMR,396
HG01697,IBS,EUR,396
HG01853,KHV,EAS,396
HG02367,CDX,EAS,396
HG03645,STU,SAS,396
HG03691,STU,SAS,396
HG04162,BEB,SAS,396
NA11919,CEU,EUR,396
HG00332,FIN,EUR,395
HG00478,CHS,EAS,395
HG03941,BEB,SAS,395
HG03955,STU,SAS,395
NA11918,CEU,EUR,395
NA20535,TSI,EUR,395
NA20774,TSI,EUR,395
HG00280,FIN,EUR,394
HG03016,PJL,SAS,394
NA06985,CEU,EUR,394
NA18995,JPT,EAS,394
HG00173,FIN,EUR,393
HG00421,CHS,EAS,393
HG01168,PUR,AMR,393
HG01443,CLM,AMR,393
HG02179,CDX,EAS,393
HG03202,ESN,AFR,393
HG04141,BEB,SAS,393
NA18646,CHB,EAS,393
NA20536,TSI,EUR,393
HG00117,GBR,EUR,392
HG00341,FIN,EUR,392
HG01247,PUR,AMR,392
HG01366,CLM,AMR,392
HG01982,PEL,AMR,392
HG02600,PJL,SAS,392
HG02793,PJL,SAS,392
HG03235,PJL,SAS,392
HG03476,MSL,AFR,392
HG03619,PJL,SAS,392
HG04099,STU,SAS,392
NA19770,MXL,AMR,392
NA20346,ASW,AFR,392
NA21115,GIH,SAS,392
HG00178,FIN,EUR,391
HG00262,GBR,EUR,391
HG00732,PUR,AMR,391
HG01350,CLM,AMR,391
HG01626,IBS,EUR,391
HG01812,CDX,EAS,391
HG01882,ACB,AFR,391
HG02649,PJL,SAS,391
HG02976,ESN,AFR,391
NA18952,JPT,EAS,391
NA20878,GIH,SAS,391
HG02371,CDX,EAS,390
NA12890,CEU,EUR,390
NA20768,TSI,EUR,390
NA20799,TSI,EUR,390
HG01170,PUR,AMR,389
HG01342,CLM,AMR,389
HG02881,GWD,AFR,389
HG03196,ESN,AFR,389
NA12006,CEU,EUR,389
NA12383,CEU,EUR,389
NA19207,YRI,AFR,389
HG01086,PUR,AMR,388
HG02259,PEL,AMR,388
HG03294,ESN,AFR,388
HG04042,STU,SAS,388
NA12716,CEU,EUR,388
NA18946,JPT,EAS,388
NA19092,YRI,AFR,388
NA20412,ASW,AFR,388
NA20807,TSI,EUR,388
NA20845,GIH,SAS,388
HG01794,CDX,EAS,387
HG01878,KHV,EAS,387
HG02188,CDX,EAS,387
HG03437,MSL,AFR,387
NA18876,YRI,AFR,387
NA19184,YRI,AFR,387
NA21100,GIH,SAS,387
HG00663,CHS,EAS,386
HG01067,PUR,AMR,386
HG01121,CLM,AMR,386
HG01403,PUR,AMR,386
HG01438,CLM,AMR,386
HG04131,BEB,SAS,386
NA19239,YRI,AFR,386
NA19320,LWK,AFR,386
HG00380,FIN,EUR,385
HG00472,CHS,EAS,385
HG00530,CHS,EAS,385
HG01789,GBR,EUR,385
HG02139,KHV,EAS,385
HG03695,STU,SAS,385
NA12347,CEU,EUR,385
NA18948,JPT,EAS,385
NA19114,YRI,AFR,385
NA20875,GIH,SAS,385
NA20905,GIH,SAS,385
HG00309,FIN,EUR,384
HG01064,PUR,AMR,384
HG03259,GWD,AFR,384
HG03458,MSL,AFR,384
HG03908,BEB,SAS,384
HG04239,ITU,SAS,384
NA12843,CEU,EUR,384
NA19031,LWK,AFR,384
NA19312,LWK,AFR,384
NA19446,LWK,AFR,384
HG00650,CHS,EAS,383
HG01334,GBR,EUR,383
HG01519,IBS,EUR,383
HG03099,ESN,AFR,383
HG03745,STU,SAS,383
HG03866,ITU,SAS,383
NA12812,CEU,EUR,383
NA18990,JPT,EAS,383
NA19070,JPT,EAS,383
NA19082,JPT,EAS,383
NA19704,ASW,AFR,383
NA19908,ASW,AFR,383
NA20755,TSI,EUR,383
NA20763,TSI,EUR,383
NA20869,GIH,SAS,383
NA21129,GIH,SAS,383
HG00410,CHS,EAS,382
HG01063,PUR,AMR,382
HG01709,IBS,EUR,382
HG01756,IBS,EUR,382
HG02658,PJL,SAS,382
HG03265,ESN,AFR,382
HG03370,ESN,AFR,382
HG04182,BEB,SAS,382
NA12776,CEU,EUR,382
NA19006,JPT,EAS,382
NA20355,ASW,AFR,382
HG01080,PUR,AMR,381
HG01492,CLM,AMR,381
HG01694,IBS,EUR,381
HG01783,IBS,EUR,381
HG01806,CDX,EAS,381
HG01846,KHV,EAS,381
HG02082,KHV,EAS,381
HG02471,ACB,AFR,381
HG02546,ACB,AFR,381
HG02585,GWD,AFR,381
HG02657,PJL,SAS,381
HG03298,ESN,AFR,381
HG03697,STU,SAS,381
HG03738,STU,SAS,381
HG03760,STU,SAS,381
NA12889,CEU,EUR,381
NA19309,LWK,AFR,381
NA19774,MXL,AMR,381
HG00607,CHS,EAS,380
HG01089,PUR,AMR,380
HG01842,KHV,EAS,380
HG02325,ACB,AFR,380
HG03967,ITU,SAS,380
NA19321,LWK,AFR,380
NA19773,MXL,AMR,380
NA20901,GIH,SAS,380
HG01198,PUR,AMR,379
HG01682,IBS,EUR,379
HG01912,ACB,AFR,379
HG01979,PEL,AMR,379
HG02230,IBS,EUR,379
HG02398,CDX,EAS,379
HG02983,GWD,AFR,379
HG03896,STU,SAS,379
NA11829,CEU,EUR,379
NA20298,ASW,AFR,379
NA20512,TSI,EUR,379
HG00231,GBR,EUR,378
HG00258,GBR,EUR,378
HG00592,CHS,EAS,378
HG00707,CHS,EAS,378
HG01051,PUR,AMR,378
HG01083,PUR,AMR,378
HG01088,PUR,AMR,378
HG01248,PUR,AMR,378
HG01398,PUR,AMR,378
HG01757,IBS,EUR,378
HG02060,KHV,EAS,378
HG04014,ITU,SAS,378
NA12749,CEU,EUR,378
NA19210,YRI,AFR,378
NA19734,MXL,AMR,378
NA20520,TSI,EUR,378
NA20859,GIH,SAS,378
HG01632,IBS,EUR,377
HG02318,ACB,AFR,377
NA18531,CHB,EAS,377
NA18939,JPT,EAS,377
NA18963,JPT,EAS,377
NA19001,JPT,EAS,377
NA19443,LWK,AFR,377
NA20127,ASW,AFR,377
NA20511,TSI,EUR,377
NA21120,GIH,SAS,377
HG00236,GBR,EUR,376
HG01374,CLM,AMR,376
HG01495,CLM,AMR,376
HG01801,CDX,EAS,376
HG01885,ACB,AFR,376
HG02676,GWD,AFR,376
HG03280,ESN,AFR,376
HG03720,ITU,SAS,376
HG03944,STU,SAS,376
HG04094,ITU,SAS,376
NA11830,CEU,EUR,376
NA18618,CHB,EAS,376
NA18949,JPT,EAS,376
NA18971,JPT,EAS,376
NA20862,GIH,SAS,376
HG00282,FIN,EUR,375
HG00610,CHS,EAS,375
HG01776,IBS,EUR,375
HG02351,CDX,EAS,375
HG03313,ESN,AFR,375
HG03754,STU,SAS,375
NA07357,CEU,EUR,375
NA18966,JPT,EAS,375
NA19159,YRI,AFR,375
NA19238,YRI,AFR,375
NA20289,ASW,AFR,375
NA20765,TSI,EUR,375
NA21124,GIH,SAS,375
HG00111,GBR,EUR,374
HG00376,FIN,EUR,374
HG00554,PUR,AMR,374
HG01046,CDX,EAS,374
HG01365,CLM,AMR,374
HG01383,CLM,AMR,374
HG01807,CDX,EAS,374
HG02233,IBS,EUR,374
HG02491,PJL,SAS,374
HG03963,ITU,SAS,374
NA18571,CHB,EAS,374
NA18908,YRI,AFR,374
NA19129,YRI,AFR,374
NA19397,LWK,AFR,374
NA19786,MXL,AMR,374
NA20287,ASW,AFR,374
HG01531,IBS,EUR,373
HG01600,KHV,EAS,373
HG02050,KHV,EAS,373
HG02736,PJL,SAS,373
HG03643,STU,SAS,373
HG03653,PJL,SAS,373
HG03832,BEB,SAS,373
HG03922,BEB,SAS,373
NA18603,CHB,EAS,373
NA18970,JPT,EAS,373
NA18972,JPT,EAS,373
NA19068,JPT,EAS,373
NA19090,JPT,EAS,373
NA20502,TSI,EUR,373
NA20522,TSI,EUR,373
NA20762,TSI,EUR,373
NA21126,GIH,SAS,373
HG00188,FIN,EUR,372
HG00844,CDX,EAS,372
HG01500,IBS,EUR,372
HG01556,CLM,AMR,372
HG02019,KHV,EAS,372
HG02048,KHV,EAS,372
HG02721,GWD,AFR,372
HG02808,GWD,AFR,372
HG03515,ESN,AFR,372
HG03919,BEB,SAS,372
NA18617,CHB,EAS,372
NA18856,YRI,AFR,372
NA18965,JPT,EAS,372
NA19384,LWK,AFR,372
NA20802,TSI,EUR,372
HG00259,GBR,EUR,371
HG01029,CDX,EAS,371
HG01308,PUR,AMR,371
HG01809,CDX,EAS,371
HG01868,KHV,EAS,371
HG03491,PJL,SAS,371
NA12414,CEU,EUR,371
NA12829,CEU,EUR,371
NA18749,CHB,EAS,371
NA18940,JPT,EAS,371
NA19222,YRI,AFR,371
HG00180,FIN,EUR,370
HG00277,FIN,EUR,370
HG00419,CHS,EAS,370
HG00739,PUR,AMR,370
HG01164,PUR,AMR,370
HG01485,CLM,AMR,370
HG01515,IBS,EUR,370
HG02070,KHV,EAS,370
HG02353,CDX,EAS,370
HG02380,CDX,EAS,370
HG03045,GWD,AFR,370
HG03351,ESN,AFR,370
HG03378,MSL,AFR,370
HG03871,ITU,SAS,370
NA12717,CEU,EUR,370
NA19028,LWK,AFR,370
NA19143,YRI,AFR,370
NA19720,MXL,AMR,370
NA20852,GIH,SAS,370
NA21117,GIH,SAS,370
HG00238,GBR,EUR,369
HG01260,CLM,AMR,369
HG01841,KHV,EAS,369
HG02057,KHV,EAS,369
HG02111,ACB,AFR,369
HG03485,MSL,AFR,369
HG03672,STU,SAS,369
HG03680,STU,SAS,369
HG03705,PJL,SAS,369
HG03943,STU,SAS,369
HG04002,ITU,SAS,369
NA12005,CEU,EUR,369
NA18867,YRI,AFR,369
NA19003,JPT,EAS,369
NA19670,MXL,AMR,369
NA20508,TSI,EUR,369
NA20525,TSI,EUR,369
HG00375,FIN,EUR,368
HG00379,FIN,EUR,368
HG00437,CHS,EAS,368
HG01082,PUR,AMR,368
HG01389,CLM,AMR,368
HG01872,KHV,EAS,368
HG02166,CDX,EAS,368
HG03380,MSL,AFR,368
HG03578,MSL,AFR,368
HG03684,STU,SAS,368
HG03774,ITU,SAS,368
HG03786,ITU,SAS,368
HG03815,BEB,SAS,368
HG03874,ITU,SAS,368
NA12273,CEU,EUR,368
NA12874,CEU,EUR,368
NA18525,CHB,EAS,368
NA18543,CHB,EAS,368
NA18974,JPT,EAS,368
NA19087,JPT,EAS,368
NA19095,YRI,AFR,368
NA21141,GIH,SAS,368
HG00160,GBR,EUR,367
HG00171,FIN,EUR,367
HG00266,FIN,EUR,367
HG01702,IBS,EUR,367
HG01810,CDX,EAS,367
HG01989,ACB,AFR,367
HG01991,PEL,AMR,367
HG02223,IBS,EUR,367
HG02792,PJL,SAS,367
HG02952,ESN,AFR,367
NA19455,LWK,AFR,367
NA19466,LWK,AFR,367
NA20805,TSI,EUR,367
HG00320,FIN,EUR,366
HG00613,CHS,EAS,366
HG00867,CDX,EAS,366
HG01518,IBS,EUR,366
HG01850,KHV,EAS,366
HG02013,ACB,AFR,366
HG02049,KHV,EAS,366
HG02051,ACB,AFR,366
HG02133,KHV,EAS,366
HG02275,PEL,AMR,366
HG02364,CDX,EAS,366
HG02541,ACB,AFR,366
HG03061,MSL,AFR,366
HG03072,MSL,AFR,366
HG03212,MSL,AFR,366
HG03649,PJL,SAS,366
HG04080,ITU,SAS,366
NA11920,CEU,EUR,366
NA12155,CEU,EUR,366
NA18613,CHB,EAS,366
NA18923,YRI,AFR,366
NA18979,JPT,EAS,366
NA19248,YRI,AFR,366
NA20863,GIH,SAS,366
NA21091,GIH,SAS,366
HG00100,GBR,EUR,365
HG00382,FIN,EUR,365
HG00978,CDX,EAS,365
HG01241,PUR,AMR,365
HG01353,CLM,AMR,365
HG01504,IBS,EUR,365
HG01672,IBS,EUR,365
HG01708,IBS,EUR,365
HG02190,CDX,EAS,365
HG02425,PEL,AMR,365
HG02470,ACB,AFR,365
HG02554,ACB,AFR,365
HG02772,GWD,AFR,365
HG02807,GWD,AFR,365
NA12813,CEU,EUR,365
NA18981,JPT,EAS,365
NA19649,MXL,AMR,365
NA20870,GIH,SAS,365
HG00275,FIN,EUR,364
HG00608,CHS,EAS,364
HG01767,IBS,EUR,364
HG02017,KHV,EAS,364
HG02648,PJL,SAS,364
HG02655,PJL,SAS,364
HG03342,ESN,AFR,364
HG03472,MSL,AFR,364
HG03771,ITU,SAS,364
HG03949,STU,SAS,364
NA18933,YRI,AFR,364
NA20818,TSI,EUR,364
HG00304,FIN,EUR,363
HG00306,FIN,EUR,363
HG00698,CHS,EAS,363
